#block size	threads per block	Total threads	IPC/EU	IPC total
1	1	1	16.000	384.000
1	2	2	32.000	768.000
1	4	4	64.000	1536.000
1	8	8	128.000	3072.000
1	16	16	151.704	3640.889
1	32	32	154.566	3709.585
1	64	64	154.566	3709.585
1	128	128	154.566	3709.585
1	256	256	154.566	3709.585
2	256	512	154.566	3709.585
3	256	768	154.566	3709.585
4	256	1024	0.782	18.762
5	256	1280	0.497	11.918
6	256	1536	0.382	9.160
7	256	1792	0.350	8.410
8	256	2048	0.332	7.968
9	256	2304	0.322	7.730
10	256	2560	0.335	8.039
11	256	2816	0.344	8.245
12	256	3072	0.352	8.453
13	256	3328	0.341	8.174
14	256	3584	0.331	7.942
15	256	3840	0.321	7.708
16	256	4096	0.319	7.657
17	256	4352	0.317	7.616
18	256	4608	0.319	7.659
19	256	4864	0.314	7.526
20	256	5120	0.310	7.445
21	256	5376	0.312	7.490
22	256	5632	0.312	7.478
23	256	5888	0.310	7.448
24	256	6144	0.307	7.363
25	256	6400	0.302	7.259
26	256	6656	0.300	7.196
27	256	6912	0.302	7.247
28	256	7168	0.300	7.201
29	256	7424	0.302	7.260
30	256	7680	0.303	7.282
31	256	7936	0.302	7.237
32	256	8192	0.303	7.264
64	256	16384	0.313	7.522
128	256	32768	0.316	7.572
256	256	65536	0.317	7.603
512	256	131072	0.318	7.624
1024	256	262144	0.318	7.626
2048	256	524288	0.317	7.597
4096	256	1048576	0.317	7.611
8192	256	2097152	0.317	7.619
16384	256	4194304	0.318	7.622
