#block size	threads per block	Total threads	OCL_TIMER	TIME_STAMP	GPU_TICKS
1	1	1	0.912062507	0.87609904	0.9082930971
1	2	2	0.912604993	0.87661296	0.9084714038
1	4	4	0.912584354	0.87645832	0.9083257933
1	8	8	0.913050711	0.87700984	0.9085860771
1	16	16	0.928090131	0.89332072	0.9257786819
1	32	32	0.927354322	0.8907804	0.9236103114
1	64	64	0.929302704	0.89248792	0.9241239933
1	128	128	0.941231762	0.90409344	0.9368665533
1	256	256	1.0206101	0.9803136	1.01599382
2	256	512	1.134825087	1.08993552	1.1299637295
3	256	768	1.242667657	1.1935004	1.2370333352
4	256	1024	1.162923903	1.11691248	1.1568708286
5	256	1280	1.17581584	1.13135808	1.1715044543
6	256	1536	1.269871035	1.21960456	1.2646557143
7	256	1792	1.553031965	1.49143624	1.5452831419
8	256	2048	1.790694986	1.7217832	1.7852592133
9	256	2304	1.853579811	1.77996824	1.8457807638
10	256	2560	2.19115512	2.10399432	2.1814020257
11	256	2816	2.370183302	2.27776656	2.3625538829
12	256	3072	2.471503226	2.37316376	2.4608257505
13	256	3328	2.779231978	2.6685804	2.7679476314
14	256	3584	2.935473184	2.82045184	2.9242174086
15	256	3840	3.088080154	2.96512568	3.0754954371
16	256	4096	3.399796244	3.2643236	3.3838783876
17	256	4352	3.552860948	3.41311912	3.5391410295
18	256	4608	3.707764548	3.55997168	3.69105612
19	256	4864	4.023434153	3.8630492	4.0008264438
20	256	5120	4.172082143	4.00763664	0.0642229162
21	256	5376	5.119500082	4.9218748	1.0102588562
22	256	5632	5.134585067	4.9399792	1.02867438
23	256	5888	5.186826797	4.98200448	1.0715354381
24	256	6144	5.121894383	4.91755408	1.0066973829
25	256	6400	5.566357762	5.55019744	1.6615505705
26	256	6656	6.004454564	6.1286428	2.2604769619
27	256	6912	6.40696365	6.22010232	2.356117139
28	256	7168	7.160822579	6.87501552	3.0375387324
29	256	7424	6.723935539	6.45738256	2.6070182152
30	256	7680	7.379003353	7.08624952	3.2531416981
31	256	7936	7.63129213	7.32666424	3.5058605029
32	256	8192	7.571583021	7.26935088	3.4478207629
